"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Clean and squat benchmark","12 Jan 2026, 07:14","12 Jan 2026, 07:35","","Kettlebell Clean",,"",3,"normal",40,4,,,
"Clean and squat benchmark","12 Jan 2026, 07:14","12 Jan 2026, 07:35","","Kettlebell Goblet Squat",,"",0,"normal",20,10,,,
"Clean and squat benchmark","12 Jan 2026, 07:14","12 Jan 2026, 07:35","","Kettlebell Goblet Squat",,"",1,"normal",28,10,,,
"Clean and squat benchmark","12 Jan 2026, 07:14","12 Jan 2026, 07:35","","Kettlebell Goblet Squat",,"",2,"normal",32,10,,,
"Clean and squat benchmark","12 Jan 2026, 07:14","12 Jan 2026, 07:35","","Kettlebell Goblet Squat",,"",3,"normal",40,4,,,
"Clean and squat benchmark","12 Jan 2026, 07:14","12 Jan 2026, 07:35","","Dead Hang",,"",0,"normal",,,,15,
"Clean and squat benchmark","12 Jan 2026, 07:14","12 Jan 2026, 07:35","","Dead Hang",,"",1,"normal",,,,15,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Triceps Extension (Dumbbell)",,"",0,"normal",5,8,,,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Triceps Extension (Dumbbell)",,"",1,"normal",5,8,,,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Triceps Extension (Dumbbell)",,"",2,"normal",5,8,,,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Triceps Extension (Dumbbell)",,"",3,"normal",5,8,,,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Kettlebell Shoulder Press",,"",0,"normal",20,1,,,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Kettlebell Shoulder Press",,"",1,"normal",20,1,,,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Kettlebell Shoulder Press",,"",2,"normal",20,1,,,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Kettlebell Shoulder Press",,"",3,"normal",20,1,,,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Kettlebell Goblet Squat",,"",0,"normal",20,6,,,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Kettlebell Goblet Squat",,"",1,"normal",20,6,,,
"Get it done","10 Jan 2026, 08:07","10 Jan 2026, 08:14","","Kettlebell Goblet Squat",,"",2,"normal",20,5,,,
"Clean and push up skills","9 Jan 2026, 07:57","9 Jan 2026, 08:17","","Kneeling Push Up",,"",0,"normal",,15,,,
"Clean and push up skills","9 Jan 2026, 07:57","9 Jan 2026, 08:17","","Kneeling Push Up",,"",1,"normal",,5,,,
"Clean and push up skills","9 Jan 2026, 07:57","9 Jan 2026, 08:17","","Kneeling Push Up",,"",2,"normal",,10,,,
"Clean and push up skills","9 Jan 2026, 07:57","9 Jan 2026, 08:17","","Kettlebell Clean",,"",0,"normal",14,5,,,
"Clean and push up skills","9 Jan 2026, 07:57","9 Jan 2026, 08:17","","Kettlebell Clean",,"",1,"normal",28,5,,,
"Clean and push up skills","9 Jan 2026, 07:57","9 Jan 2026, 08:17","","Kettlebell Clean",,"",2,"normal",24,5,,,
"Clean and push up skills","9 Jan 2026, 07:57","9 Jan 2026, 08:17","","Kettlebell Clean",,"",3,"normal",24,5,,,
"Quickie","8 Jan 2026, 21:56","8 Jan 2026, 22:00","","Kettlebell Goblet Squat",,"",0,"normal",16,7,,,
"Quickie","8 Jan 2026, 21:56","8 Jan 2026, 22:00","","Kettlebell Goblet Squat",,"",1,"normal",16,7,,,
"Quickie","8 Jan 2026, 21:56","8 Jan 2026, 22:00","","Kettlebell Shoulder Press",,"",0,"normal",16,3,,,
"Quickie","8 Jan 2026, 21:56","8 Jan 2026, 22:00","","Kettlebell Shoulder Press",,"",1,"normal",16,3,,,
"Quickie","8 Jan 2026, 21:56","8 Jan 2026, 22:00","","Side Bend (Dumbbell)",,"",0,"normal",16,5,,,
"Quickie","8 Jan 2026, 21:56","8 Jan 2026, 22:00","","Side Bend (Dumbbell)",,"",1,"normal",16,5,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",0,"normal",16,10,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",1,"normal",16,10,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",2,"normal",16,10,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",3,"normal",16,10,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",4,"normal",16,10,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",5,"normal",16,10,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",6,"normal",24,5,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",7,"normal",24,5,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",8,"normal",24,5,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",9,"normal",24,5,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",10,"normal",24,5,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Kettlebell Goblet Squat",,"",11,"normal",24,5,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Squat (Bodyweight)",,"",0,"normal",,15,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Squat (Bodyweight)",,"",1,"normal",,15,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Squat (Bodyweight)",,"",2,"normal",,15,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Squat (Bodyweight)",,"",3,"normal",,15,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Squat (Bodyweight)",,"",4,"normal",,15,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Squat (Bodyweight)",,"",5,"normal",,15,,,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Dead Hang",,"",0,"normal",,,,10,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Dead Hang",,"",1,"normal",,,,15,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Dead Hang",,"",2,"normal",,,,15,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Dead Hang",,"",3,"normal",,,,15,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Dead Hang",,"",4,"normal",,,,15,
"Quad WODzilla","7 Jan 2026, 06:45","7 Jan 2026, 07:15","","Dead Hang",,"",5,"normal",,,,13,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Shoulder Press",,"",0,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Shoulder Press",,"",1,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Shoulder Press",,"",2,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Shoulder Press",,"",3,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Shoulder Press",,"",4,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Shoulder Press",,"",5,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Shoulder Press",,"",6,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Shoulder Press",,"",7,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Shoulder Press",,"",8,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Shoulder Press",,"",9,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Clean",,"",0,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Clean",,"",1,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Clean",,"",2,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Clean",,"",3,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Clean",,"",4,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Clean",,"",5,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Clean",,"",6,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Clean",,"",7,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Clean",,"",8,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Clean",,"",9,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Goblet Squat",,"",0,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Goblet Squat",,"",1,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Goblet Squat",,"",2,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Goblet Squat",,"",3,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Goblet Squat",,"",4,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Goblet Squat",,"",5,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Goblet Squat",,"",6,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Goblet Squat",,"",7,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Goblet Squat",,"",8,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Goblet Squat",,"",9,"normal",16,2,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Swing",,"",0,"normal",16,15,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Swing",,"",1,"normal",16,15,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Swing",,"",2,"normal",16,10,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Curl",,"",0,"normal",16,8,,,
"EMOM for 15 mins","6 Jan 2026, 16:08","6 Jan 2026, 16:22","","Kettlebell Curl",,"",1,"normal",16,8,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Gorilla Row (Kettlebell)",,"",0,"normal",16,10,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Kettlebell Goblet Squat",,"",0,"normal",20,6,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Kettlebell Goblet Squat",,"",1,"normal",20,6,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Kettlebell Goblet Squat",,"",2,"normal",20,6,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Kettlebell Goblet Squat",,"",3,"normal",20,6,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Kettlebell Goblet Squat",,"",4,"normal",20,6,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Kettlebell Goblet Squat",,"",5,"normal",20,6,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Kettlebell Goblet Squat",,"",6,"normal",20,6,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Triceps Extension (Dumbbell)",,"",0,"normal",5,10,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Triceps Extension (Dumbbell)",,"",1,"normal",5,10,,,
"Squat a day","2 Jan 2026, 09:01","2 Jan 2026, 09:13","","Triceps Extension (Dumbbell)",,"",2,"normal",12,5,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Gorilla Row (Kettlebell)",,"",0,"normal",20,7,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Gorilla Row (Kettlebell)",,"",1,"normal",20,8,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Triceps Extension (Dumbbell)",,"",0,"normal",5,10,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Triceps Extension (Dumbbell)",,"",1,"normal",5,10,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Triceps Extension (Dumbbell)",,"",2,"normal",5,7,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Triceps Extension (Dumbbell)",,"",3,"normal",5,7,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Triceps Extension (Dumbbell)",,"",4,"normal",5,7,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Triceps Extension (Dumbbell)",,"",5,"normal",5,7,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Bicep Curl (Dumbbell)",,"",0,"normal",5,10,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Bicep Curl (Dumbbell)",,"",1,"normal",5,10,,,
"New year new workout","1 Jan 2026, 12:14","1 Jan 2026, 12:24","","Kettlebell Goblet Squat",,"",0,"normal",20,5,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",0,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",1,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",2,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",3,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",4,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",5,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",6,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",7,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",8,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",9,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",10,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",11,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Shoulder Press",,"",12,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",0,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",1,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",2,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",3,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",4,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",5,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",6,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",7,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",8,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",9,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",10,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",11,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Goblet Squat",,"",12,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",0,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",1,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",2,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",3,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",4,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",5,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",6,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",7,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",8,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",9,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",10,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",11,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Clean",,"",12,"normal",16,2,,,
"Sprint workout","28 Dec 2025, 06:50","28 Dec 2025, 07:05","Iron cardio and swings","Kettlebell Swing",,"",0,"normal",16,25,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Gorilla Row (Kettlebell)",,"",0,"normal",16,12,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Gorilla Row (Kettlebell)",,"",1,"normal",16,12,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Gorilla Row (Kettlebell)",,"",2,"normal",16,12,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Gorilla Row (Kettlebell)",,"",3,"normal",16,12,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Gorilla Row (Kettlebell)",,"",4,"normal",16,12,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Kettlebell Curl",,"",0,"normal",16,10,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Kettlebell Curl",,"",1,"normal",16,8,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Kettlebell Shoulder Press",,"",0,"normal",16,3,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Kettlebell Shoulder Press",,"",1,"normal",16,3,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Kettlebell Shoulder Press",,"",2,"normal",16,2,,,
"Bits","27 Dec 2025, 16:37","27 Dec 2025, 16:47","","Kettlebell Shoulder Press",,"",3,"normal",16,2,,,
"Sweet 16","18 Dec 2025, 22:07","18 Dec 2025, 22:12","","Kettlebell Swing",,"",0,"normal",16,15,,,
"Sweet 16","18 Dec 2025, 22:07","18 Dec 2025, 22:12","","Kettlebell Swing",,"",1,"normal",16,15,,,
"Sweet 16","18 Dec 2025, 22:07","18 Dec 2025, 22:12","","Kettlebell Shoulder Press",,"",0,"normal",16,3,,,
"Sweet 16","18 Dec 2025, 22:07","18 Dec 2025, 22:12","","Kettlebell Shoulder Press",,"",1,"normal",16,3,,,
"Sweet 16","18 Dec 2025, 22:07","18 Dec 2025, 22:12","","Kettlebell Shoulder Press",,"",2,"normal",16,3,,,
"Sweet 16","18 Dec 2025, 22:07","18 Dec 2025, 22:12","","Kettlebell Shoulder Press",,"",3,"normal",16,3,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Shoulder Press",,"",0,"normal",10,5,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Shoulder Press",,"",1,"normal",10,5,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Shoulder Press",,"",2,"normal",12,5,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Shoulder Press",,"",3,"normal",12,5,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Shoulder Press",,"",4,"normal",14,3,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Shoulder Press",,"",5,"normal",14,3,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Shoulder Press",,"",6,"normal",16,5,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Shoulder Press",,"",7,"normal",16,5,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Shoulder Press",,"",8,"normal",20,1,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Shoulder Press",,"",9,"normal",20,2,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Swing",,"",0,"normal",16,27,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Swing",,"",1,"normal",16,25,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Kettlebell Swing",,"",2,"normal",16,27,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Thruster (Kettlebell)",,"",0,"normal",16,9,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Thruster (Kettlebell)",,"",1,"normal",16,10,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Thruster (Kettlebell)",,"",2,"normal",16,10,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Burpee",,"",0,"normal",,9,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Burpee",,"",1,"normal",,10,,,
"Press max","17 Dec 2025, 06:55","17 Dec 2025, 07:25","","Burpee",,"",2,"normal",,10,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Goblet Squat",,"",0,"normal",14,10,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Goblet Squat",,"",1,"normal",16,10,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Goblet Squat",,"",2,"normal",28,5,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Goblet Squat",,"",3,"normal",32,5,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Goblet Squat",,"",4,"normal",40,5,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Goblet Squat",,"",5,"normal",48,6,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Swing",,"",0,"normal",20,10,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Swing",,"",1,"normal",20,10,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Swing",,"",2,"normal",20,10,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Swing",,"",3,"normal",20,10,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Swing",,"",4,"normal",20,10,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Kettlebell Swing",,"",5,"normal",20,10,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Mountain Climber",,"",0,"normal",,24,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Mountain Climber",,"",1,"normal",,24,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Mountain Climber",,"",2,"normal",,24,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Mountain Climber",,"",3,"normal",,24,,,
"Squat benchmark","15 Dec 2025, 09:04","15 Dec 2025, 09:34","","Mountain Climber",,"",4,"normal",,24,,,
